Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Data,7,monitoring,timestamp,"885579720",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885579780",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,1,monitoring,timestamp_16,"57348",s,heart_rate,"0",bpm,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp,"885579780",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885579840",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885579900",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885579960",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885580020",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885580080",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885580140",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885580200",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp,"885580200",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885580260",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Definition,2,unknown,unknown,4,,,,,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"40|0|0|248",,,,,,,,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885580320",s,stress_level_value,"-1",,unknown,"101",,unknown,"50",,,,,,,,,,,,,,
Data,6,unknown,unknown,"92|226|200|52|1|0|74|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"92|226|200|52|0|0|89|115|129|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"92|226|200|52|1|1|74|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,1,monitoring,timestamp_16,"57948",s,heart_rate,"74",bpm,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"16|0|0|248",,,,,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp,"885580380",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885580380",s,stress_level_value,"6",,unknown,"78",,unknown,"50",,,,,,,,,,,,,,
Data,1,monitoring,timestamp_16,"58008",s,heart_rate,"78",bpm,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"40|0|0|248",,,,,,,,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885580440",s,stress_level_value,"-2",,unknown,"102",,unknown,"50",,,,,,,,,,,,,,
Data,1,monitoring,timestamp_16,"58068",s,heart_rate,"74",bpm,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"7|46|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"212|226|200|52|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885580500",s,stress_level_value,"-2",,unknown,"102",,unknown,"50",,,,,,,,,,,,,,
Data,6,unknown,unknown,"16|227|200|52|1|0|73|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"16|227|200|52|0|0|124|173|197|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"16|227|200|52|1|1|73|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,1,monitoring,timestamp_16,"58128",s,heart_rate,"73",bpm,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"16|0|0|248",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"16|227|200|52|4|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"16|227|200|52|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"16|227|200|52|4|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885580560",s,stress_level_value,"-2",,unknown,"102",,unknown,"50",,,,,,,,,,,,,,
Data,1,monitoring,timestamp_16,"58188",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"18|240|7|8",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"76|227|200|52|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"76|227|200|52|2|2|32|141|149|39|32|72|1|0|1|4|2|27|28|28|29|31",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"76|227|200|52|4|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"76|227|200|52|2|2|34|161|175|32|24|72|2|2|1|1|1|28|27|27|25|24",,,,,,,,,,,,,,,,,,,,,,,
Definition,3,monitoring,descent,1,,unknown,1,,timestamp_16,1,,,,,,,,,,,,,,,,,
Data,3,monitoring,descent,"4.565",m,unknown,"4565",,timestamp_16,"58188",s,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885580620",s,stress_level_value,"-2",,unknown,"102",,unknown,"50",,,,,,,,,,,,,,
Data,1,monitoring,timestamp_16,"58248",s,heart_rate,"79",bpm,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"232|160|0|16",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"152|227|200|52|2|2|2|176|184|24|28|72|1|1|1|1|1|27|28|28|28|28",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"168|227|200|52|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"181|227|200|52|4|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885580680",s,stress_level_value,"-2",,unknown,"102",,unknown,"50",,,,,,,,,,,,,,
Data,1,monitoring,timestamp_16,"58308",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"40|0|0|248",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"218|227|200|52|2|2|16|242|246|28|36|23|0|0|1|2|1|39|39|38|37|37",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"233|227|200|52|2|2|1|254|254|36|38|23|0|0|0|0|0|37|37|37|38|38",,,,,,,,,,,,,,,,,,,,,,,
Definition,4,monitoring,ascent,1,,unknown,1,,timestamp_16,1,,,,,,,,,,,,,,,,,
Data,4,monitoring,ascent,"3.207",m,unknown,"3207",,timestamp_16,"58345",s,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885580740",s,stress_level_value,"-2",,unknown,"102",,unknown,"50",,,,,,,,,,,,,,
Data,1,monitoring,timestamp_16,"58368",s,heart_rate,"93",bpm,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"156|0|206|240",,,,,,,,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885580800",s,stress_level_value,"-2",,unknown,"102",,unknown,"50",,,,,,,,,,,,,,
Data,1,monitoring,timestamp_16,"58428",s,heart_rate,"99",bpm,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"61|228|200|52|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"16|0|0|248",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"73|228|200|52|4|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"99|228|200|52|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"112|228|200|52|4|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885580860",s,stress_level_value,"-2",,unknown,"102",,unknown,"50",,,,,,,,,,,,,,
Data,1,monitoring,timestamp_16,"58488",s,heart_rate,"87",bpm,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"80|12|240|224",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"134|228|200|52|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885580920",s,stress_level_value,"-2",,unknown,"102",,unknown,"50",,,,,,,,,,,,,,
Definition,5,monitoring,timestamp_16,1,,moderate_activity_minutes,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"58548",s,moderate_activity_minutes,"10",minutes,unknown,"10",,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"187|228|200|52|2|2|32|122|132|36|26|16|3|2|0|2|3|26|26|26|27|26",,,,,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"0|0|0|24",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"197|228|200|52|4|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"197|228|200|52|2|2|2|141|141|26|26|16|0|0|0|0|0|28|28|29|29|29",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"217|228|200|52|22|0|8|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"224|228|200|52|22|0|9|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,descent,"3.062",m,unknown,"7627",,timestamp_16,"58565",s,,,,,,,,,,,,,,,,
Data,0,stress_level,stress_level_time,"885580980",s,stress_level_value,"-2",,unknown,"102",,unknown,"49",,,,,,,,,,,,,,
Data,1,monitoring,timestamp_16,"58608",s,heart_rate,"94",bpm,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"40|0|0|248",,,,,,,,,,,,,,,,,,,,,,,
Definition,6,monitoring,cycles,1,,active_time,1,,active_calories,1,,timestamp_16,1,,current_activity_type_intensity,1,,,,,,,,,,,
Data,6,monitoring,steps,"397",steps,active_time,"363.0",s,active_calories,"14",kcal,timestamp_16,"58608",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,
Data,0,stress_level,stress_level_time,"885581040",s,stress_level_value,"-2",,unknown,"102",,unknown,"49",,,,,,,,,,,,,,
Definition,7,unknown,unknown,22,,,,,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"44|229|200|52|1|0|71|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"44|229|200|52|0|0|121|168|191|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"44|229|200|52|1|1|71|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,1,monitoring,timestamp_16,"58668",s,heart_rate,"71",bpm,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"16|0|0|248",,,,,,,,,,,,,,,,,,,,,,,
Definition,0,monitoring,timestamp,1,,current_activity_type_intensity,1,,,,,,,,,,,,,,,,,,,,
Data,0,monitoring,timestamp,"885581100",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,,,,
Definition,1,stress_level,stress_level_time,1,,stress_level_value,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,
Data,1,stress_level,stress_level_time,"885581100",s,stress_level_value,"-2",,unknown,"102",,unknown,"49",,,,,,,,,,,,,,
Definition,2,monitoring,timestamp_16,1,,heart_rate,1,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"58728",s,heart_rate,"74",bpm,,,,,,,,,,,,,,,,,,,
Definition,3,unknown,unknown,4,,,,,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"7|2|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,1,stress_level,stress_level_time,"885581160",s,stress_level_value,"-2",,unknown,"102",,unknown,"49",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"58788",s,heart_rate,"83",bpm,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"18|240|7|8",,,,,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"164|229|200|52|2|2|64|174|174|9|18|254|0|0|0|0|0|37|34|31|27|21",,,,,,,,,,,,,,,,,,,,,,,
Data,6,monitoring,steps,"430",steps,active_time,"483.0",s,active_calories,"18",kcal,timestamp_16,"58788",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,
Data,1,stress_level,stress_level_time,"885581220",s,stress_level_value,"-2",,unknown,"102",,unknown,"49",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"58848",s,heart_rate,"88",bpm,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"184|130|0|16",,,,,,,,,,,,,,,,,,,,,,,
Data,1,stress_level,stress_level_time,"885581280",s,stress_level_value,"49",,unknown,"-33",,unknown,"49",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"58908",s,heart_rate,"75",bpm,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"58908",s,moderate_activity_minutes,"3",minutes,unknown,"13",,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"0|0|148|240",,,,,,,,,,,,,,,,,,,,,,,
Data,1,stress_level,stress_level_time,"885581340",s,stress_level_value,"8",,unknown,"71",,unknown,"49",,,,,,,,,,,,,,
Data,7,unknown,unknown,"88|230|200|52|1|0|68|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"88|230|200|52|0|0|115|158|179|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"88|230|200|52|1|1|68|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"58968",s,heart_rate,"68",bpm,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"0|0|0|24",,,,,,,,,,,,,,,,,,,,,,,
Data,1,stress_level,stress_level_time,"885581400",s,stress_level_value,"5",,unknown,"81",,unknown,"50",,,,,,,,,,,,,,
Data,7,unknown,unknown,"148|230|200|52|1|0|64|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"148|230|200|52|0|0|106|143|161|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"148|230|200|52|1|1|64|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"59028",s,heart_rate,"64",bpm,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"34|0|0|248",,,,,,,,,,,,,,,,,,,,,,,
Data,1,stress_level,stress_level_time,"885581460",s,stress_level_value,"1",,unknown,"96",,unknown,"50",,,,,,,,,,,,,,
Data,7,unknown,unknown,"208|230|200|52|1|0|63|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"208|230|200|52|0|0|94|123|137|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"208|230|200|52|1|1|63|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"59088",s,heart_rate,"63",bpm,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"80|12|232|224",,,,,,,,,,,,,,,,,,,,,,,
Data,1,stress_level,stress_level_time,"885581520",s,stress_level_value,"6",,unknown,"76",,unknown,"50",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"59148",s,heart_rate,"66",bpm,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"20|0|0|248",,,,,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"12|231|200|52|2|2|4|188|191|55|55|254|0|0|0|2|1|55|55|56|55|55",,,,,,,,,,,,,,,,,,,,,,,
Data,0,monitoring,timestamp,"885581580",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,,,,
Data,1,stress_level,stress_level_time,"885581580",s,stress_level_value,"1",,unknown,"97",,unknown,"50",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"59208",s,heart_rate,"68",bpm,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"7|194|1|0",,,,,,,,,,,,,,,,,,,,,,,
Data,1,stress_level,stress_level_time,"885581640",s,stress_level_value,"-2",,unknown,"102",,unknown,"50",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"59268",s,heart_rate,"71",bpm,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"18|240|7|8",,,,,,,,,,,,,,,,,,,,,,,
Data,6,monitoring,steps,"453",steps,active_time,"603.0",s,active_calories,"20",kcal,timestamp_16,"59268",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,
Data,1,stress_level,stress_level_time,"885581700",s,stress_level_value,"-2",,unknown,"102",,unknown,"51",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"59328",s,heart_rate,"79",bpm,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"140|102|0|16",,,,,,,,,,,,,,,,,,,,,,,
Data,1,stress_level,stress_level_time,"885581760",s,stress_level_value,"-2",,unknown,"102",,unknown,"50",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"59388",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"0|0|130|240",,,,,,,,,,,,,,,,,,,,,,,
Data,0,monitoring,timestamp,"885581820",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,,,,
Data,1,stress_level,stress_level_time,"885581820",s,stress_level_value,"-2",,unknown,"102",,unknown,"51",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"59448",s,heart_rate,"76",bpm,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"34|0|0|248",,,,,,,,,,,,,,,,,,,,,,,
Data,1,stress_level,stress_level_time,"885581880",s,stress_level_value,"-2",,unknown,"102",,unknown,"51",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"59508",s,heart_rate,"81",bpm,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"16|0|0|248",,,,,,,,,,,,,,,,,,,,,,,
Data,1,stress_level,stress_level_time,"885581940",s,stress_level_value,"-2",,unknown,"102",,unknown,"51",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"59568",s,heart_rate,"89",bpm,,,,,,,,,,,,,,,,,,,
Data,6,monitoring,steps,"591",steps,active_time,"783.0",s,active_calories,"26",kcal,timestamp_16,"59568",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,
Data,7,unknown,unknown,"176|232|200|52|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"0|0|0|24",,,,,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"176|232|200|52|4|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,1,stress_level,stress_level_time,"885582000",s,stress_level_value,"-2",,unknown,"102",,unknown,"50",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"59628",s,heart_rate,"86",bpm,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"236|232|200|52|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"112|7|240|224",,,,,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"236|232|200|52|4|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"236|232|200|52|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,1,stress_level,stress_level_time,"885582060",s,stress_level_value,"-2",,unknown,"102",,unknown,"50",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"59688",s,heart_rate,"90",bpm,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"7|2|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"40|233|200|52|4|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,7,unknown,unknown,"40|233|200|52|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,1,stress_level,stress_level_time,"885582120",s,stress_level_value,"-2",,unknown,"102",,unknown,"50",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"59748",s,heart_rate,"87",bpm,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"18|240|7|8",,,,,,,,,,,,,,,,,,,,,,,
